ssn,firstName,lastName,speciality,yearOfExpreince,phoneNum
96556337,ali,irani,Otolaryngologist,6,513630688
34902247,William,Price,Nephrologist,21,726726351
84143990,Patricia,Moran,Plastic Surgeon,15,218137141
21029094,Jennifer,Wyatt,Urologist,1,466175252
52340174,Karen,Richardson,Otolaryngologist,11,947749877
60788892,Zachary,Robinson,Obstetrics and gynaecologist,34,613634508
58209043,Steven,Burnett,Ophthalmologist,34,216421947
65254136,Timothy,Cordova,Otolaryngologist,29,401361212
34480861,Rebecca,Hebert,Urologist,27,465349218
13626528,Lisa,Turner,Otolaryngologist,7,973826269
39276719,Alexis,Young,Ophthalmologist,38,502929811
47451778,Jeffrey,Sanchez,Obstetrics and gynaecologist,10,247894611
30649145,Morgan,Gibson,Obstetrics and gynaecologist,9,915904497
31092415,Micheal,Dodson,Plastic Surgeon,11,819272876
67885705,Jamie,Mann,Dermatologist,38,265744096
92054301,Todd,Lynch,Otolaryngologist,36,939444199
49716952,Jonathan,Cannon,Otolaryngologist,27,510605709
24867775,Ray,Knight,Plastic Surgeon,34,949986991
75236648,Jason,Mclaughlin,Oncologist,39,408889096
24249700,Richard,Logan,Ophthalmologist,40,658667649
75085950,Kaitlyn,Rocha,Psychiatrist,39,886981153
88925156,Jaclyn,Hopkins,General surgery,7,494596906
91948195,Gary,Harris,Pediatrics,31,523686926
75837285,Jonathan,Glover,Plastic Surgeon,32,626684355
15173375,Lawrence,Bolton,Colon and Rectal Surgeon,10,705757334
49215639,Leonard,Schmitt,Obstetrics and gynaecologist,4,801307383
93145002,April,Maxwell,Obstetrics and gynaecologist,17,871409507
99769858,Ruth,Oconnor,Plastic Surgeon,36,689820158
39220034,Megan,Jones,Hematologist,27,855705962
40960388,Patricia,Powers,Pathologist,15,870653457
98485783,Kevin,Johnson,Cardiothoracic anesthesiologist,7,134168362
97609788,Heather,Alvarez,Radiologist,21,869863279
62066313,Tina,Ortega,Hematologist,14,957711325
11817916,Eric,Boyd,Psychiatrist,34,852101994
