id,date,doctor_ssn,patient_ssn
54004,2020-11-30,91637230,86736411
76344,2002-06-03,76695278,64224954
53958,2002-11-07,49149648,13584222
28749,2004-08-21,63215818,81961697
37319,2018-02-20,12725677,82344059
55922,2012-02-06,11770943,83546165
72657,1975-01-30,22469139,54785320
65758,2003-09-25,17813511,40611086
47482,2003-01-25,18424203,81538244
24094,2004-04-03,97688719,23926604
97679,2019-03-15,77506621,88177583
72754,2007-09-26,87900785,65640729
90694,1986-10-22,40193136,89630159
83506,2007-05-27,56143789,34643356
39811,1996-12-10,91948195,85963832
93043,1978-09-26,90802402,96003831
31849,2004-11-04,23432381,26546885
77953,1971-03-29,65404051,37589280
48518,1991-12-23,97609788,19987970
84452,1984-07-03,79640709,17098181
86657,1972-02-15,35849353,18905448
34102,1971-12-20,10002383,15442161
62752,1987-03-10,97077535,16893501
76204,1974-03-26,99039949,75271335
32094,1979-02-02,65254136,79816281
47438,2015-04-27,10226227,32075840
45653,1980-03-13,29061274,89832484
32057,1975-08-03,90524366,36414189
48531,1973-03-31,68651001,56631479
32663,1974-03-03,42783938,48923458
58802,2014-02-06,80208559,88876940
19735,1988-04-15,11425056,28850907
56563,2015-03-26,15922142,78651862
45956,1986-02-18,36301244,28525389
95197,1979-03-21,64171170,14316215
22968,2016-12-08,56266747,88844476
70150,1990-05-13,35509814,45762688
10682,1978-03-12,34963962,60632967
92085,1989-10-10,20499053,16200301
59876,1996-06-25,96941965,92955142
61122,2010-06-19,52019681,94232898
71698,1990-03-17,48162226,87057289
88271,1977-09-08,29902628,97986862
73676,1989-07-12,28102949,98055378
54383,1977-02-27,43770521,79285800
45281,1975-07-27,39276719,19494207
86725,1992-04-14,67756087,18575719
98729,1985-10-16,87036482,28742342
66433,2011-01-13,72297075,31370931
94313,2009-05-22,87429712,61749550
14911,1982-03-26,22531739,22493523
66867,2013-02-06,26707168,37940782
67428,2001-08-28,25314221,32664155
75942,1972-05-24,19104435,74615199
33629,1974-04-06,56143789,47632466
19281,1975-03-02,88104164,57497593
37732,2007-11-18,61313981,80533774
78695,2016-03-20,17276639,67940502
27304,2018-05-06,76820419,31172682
37706,1975-03-16,34963962,82774810
29866,1986-12-03,79604943,48536506
60504,2011-09-17,11761661,97109629
58810,2008-08-03,54383880,73457777
77717,2005-08-04,75972046,39488865
47038,1982-01-19,95461961,55281530
78638,1981-09-14,67709125,24095279
55262,1993-08-30,84527102,95238717
65055,1980-08-15,35060753,60753759
42797,1979-09-06,57541343,60533978
76280,1975-06-28,75085950,73235110
73429,1979-09-12,29583206,86122899
57089,2011-11-11,27458128,54582069
41568,2017-05-13,17594394,66624968
40816,2017-10-16,83358978,97943500
52752,2003-12-25,27458128,56152532
52042,2020-06-24,73353613,43327406
30066,2018-12-27,67885705,58266280
50256,1982-07-16,72297075,31370931
83395,1981-09-08,63039705,55041969
19056,1998-06-17,25547153,39881586
58507,2015-12-22,30649145,19305836
29014,2008-01-25,24688229,64808130
30124,1996-04-01,13047810,22505116
46138,1983-10-13,41387324,68981884
75357,1980-08-02,64535784,87133842
25291,1985-06-10,39322107,71223178
78357,2003-07-20,62897633,59995962
93254,2001-05-24,43103892,92667301
75628,2019-01-10,72698465,26837987
43068,2012-07-26,19572547,86915721
47446,2007-02-22,95461961,55281530
11415,2016-11-24,82093766,87152148
85700,1986-05-06,96556337,57864005
97543,2007-04-08,86829362,73520612
82792,2009-04-05,30649145,19305836
44581,1986-03-06,76695278,37613616
46772,1973-02-24,11218310,98503393
30086,2011-07-07,76820419,95147281
55238,1972-08-04,92931463,76827277
93867,1980-12-24,19400206,20618372
81971,2019-12-17,79901704,63044461
57638,2001-01-08,34902247,17226473
43770,2008-04-18,58209043,92939312
60307,1976-01-30,81479327,33446708
83689,1977-03-30,93785360,80478126
35466,2020-12-02,91948195,60878350
75635,2012-06-23,82574889,58174956
72851,2013-07-09,92855777,32429634
40600,2008-01-14,72845307,30698977
41037,2013-11-26,39396483,97203681
41733,1988-09-17,31092415,42836046
94531,1993-12-13,11770943,67410023
43412,1979-09-22,64533542,96545308
45319,1983-03-23,60279221,53717661
16670,1985-06-11,30078286,21427226
69146,1980-01-05,49215639,42100147
80080,1993-09-20,87900785,65640729
28405,1978-07-10,18322426,24322340
43949,1995-07-21,68651001,56631479
25061,1989-07-26,59582449,89314548
54346,1999-10-20,89010566,48133636
96074,1989-02-21,30064194,24573233
98449,2019-04-26,17813511,41952304
78215,1998-10-25,32044946,30852738
82019,2006-03-04,75244854,30648736
48865,1970-07-26,33714804,53409608
16568,2002-11-30,19400206,20618372
49804,1970-09-16,86756434,99589738
94468,1976-04-25,17813511,41952304
55850,2008-10-28,25594270,15419071
50006,2017-09-22,35514193,76232620
69968,1980-03-09,52782415,80631170
49019,2020-03-10,44614689,78989260
80638,1976-02-14,66185957,54357890
33881,1972-04-18,91815654,31845691
58085,1987-10-20,83259105,46744453
58034,1983-09-07,21029094,55135987
31520,1992-02-28,85307688,29067346
87493,1977-11-30,50485510,35107086
74894,1995-01-22,40960388,39777546
38092,1998-08-05,39648684,71035442
68446,1984-03-20,81682384,70018454
85132,2000-02-20,88925156,61823721
24834,1987-05-29,35849353,74391392
98325,2019-07-15,38622081,92493712
92112,1970-02-18,43770521,87349174
45710,1990-07-01,33358621,75514447
11397,2007-10-18,87429712,61749550
54555,1993-12-07,74265993,61770106
95456,1982-03-25,37830188,87386953
76775,1983-01-10,26117729,96666062
33895,2018-05-21,52425844,96900433
11876,1983-09-30,71245845,56709868
16534,2004-12-22,17276639,95180164
29881,1993-08-31,36547672,27069997
78146,2003-11-27,64533542,47263226
66570,1988-12-17,77466800,82730283
60748,1971-10-27,66505374,26211696
70731,1983-10-26,42771490,94167726
25363,1982-02-18,40193136,13577355
30246,1971-02-22,53806717,72429276
42889,1982-03-31,45309632,42139288
66633,1985-09-08,97609788,87597979
15575,1993-09-01,40419761,33230194
51274,2012-03-07,51267267,50949209
82871,1991-04-19,72535496,96394308
76427,2018-05-19,96212667,53640034
81522,1992-01-15,68470062,51465704
41276,1978-09-06,20499053,41976457
95536,1996-03-09,97907228,65223949
92175,1987-09-13,23104323,18679711
21032,1977-02-01,31092415,42836046
38942,2007-11-12,13047810,42336985
51204,2009-11-03,18834593,87350382
50912,1977-07-19,87036482,28742342
81925,1984-03-07,87020930,12482652
64713,2014-08-10,33401129,56041961
34213,1974-05-06,13717408,71597785
76336,1985-02-04,30606081,27342268
